Sec,N,mm/mm,mm,segments
485.7915,52341.766,0.0053959317,1.5931233,194
485.79248,52398.473,0.0054061706,1.6016656,194
485.79346,52455.176,0.0054061706,1.5973945,194
485.79443,52511.879,0.0054266485,1.5973945,194
485.79541,52568.586,0.0054368875,1.5973945,194
485.79639,52622.309,0.0054573654,1.5973945,194
485.79736,52681.996,0.0054778433,1.6016656,194
485.79834,52747.652,0.0054573654,1.6016656,194
485.79932,52798.391,0.0054778433,1.6016656,194
485.80029,52855.094,0.0054880823,1.6059366,194
485.80127,52908.816,0.0054983213,1.6016656,194
485.80225,52965.523,0.0055085602,1.6059366,194
485.80322,53016.258,0.0055290381,1.6102078,194
485.8042,53078.93,0.0055187992,1.6059366,194
485.80518,53129.668,0.0055290381,1.6102078,194
485.80615,53189.359,0.0055495161,1.6102078,194
485.80713,53240.094,0.005559755,1.6144789,194
485.80811,53308.734,0.0055904719,1.6102078,194
485.80908,53353.504,0.0055802329,1.6144789,194
485.81006,53416.176,0.0055802329,1.6102078,194
485.81104,53460.945,0.0055904719,1.6144789,194
485.81201,53526.605,0.0056211888,1.6144789,194
485.81299,53574.355,0.0056314277,1.6144789,194
485.81396,53634.043,0.0056314277,1.61875,194
485.81494,53690.75,0.0056314277,1.61875,194
485.81592,53747.457,0.0056519057,1.6144789,194
485.81689,53795.203,0.0056519057,1.61875,194
485.81787,53860.863,0.0056723836,1.6230211,194
485.81885,53908.613,0.0057031005,1.61875,194
485.81982,53965.32,0.0057031005,1.61875,194
485.8208,54016.055,0.0057133394,1.6230211,194
485.82178,54069.777,0.0057338174,1.6272923,194
485.82275,54123.496,0.0057440563,1.6230211,194
485.82373,54177.219,0.0057440563,1.6230211,194
485.82471,54233.926,0.0057440563,1.6230211,194
485.82568,54284.66,0.0057747732,1.6315633,194
485.82666,54338.383,0.0057747732,1.6272923,194
485.82764,54386.133,0.0057850122,1.6315633,194
485.82861,54439.855,0.0058054901,1.6272923,194
485.82959,54484.617,0.005815729,1.6358345,194
485.83057,54547.293,0.005836207,1.6315633,194
485.83154,54598.031,0.005825968,1.6315633,194
485.83252,54648.766,0.0058464459,1.6358345,194
485.8335,54690.547,0.0058566849,1.6358345,194
485.83447,54744.27,0.0058566849,1.6358345,194
485.83545,54795.004,0.0058669238,1.6358345,194
485.83643,54851.711,0.0058669238,1.6358345,194
485.8374,54896.477,0.0059078797,1.6358345,194
485.83838,54953.184,0.0058976407,1.6401056,194
485.83936,54994.965,0.0059181186,1.6401056,194
485.84033,55054.656,0.0059283576,1.6443766,194
485.84131,55096.438,0.0059181186,1.6443766,194
485.84229,55153.145,0.0059590745,1.6443766,194
485.84326,55197.91,0.0059385966,1.6401056,194
485.84424,55257.598,0.0059693134,1.6486478,194
485.84521,55302.367,0.0059693134,1.6486478,194
485.84619,55359.074,0.0059693134,1.6443766,194
485.84717,55397.867,0.0059795524,1.6486478,194
485.84814,55457.563,0.0059897914,1.6443766,194
485.84912,55502.328,0.0060102693,1.6486478,194
485.8501,55553.063,0.0060205082,1.6529189,194
485.85107,55600.816,0.0060307472,1.6486478,194
485.85205,55657.52,0.0060307472,1.6529189,194
485.85303,55699.301,0.0060512251,1.6529189,194
485.854,55750.039,0.006071703,1.6529189,194
485.85498,55800.773,0.0060614641,1.6529189,194
485.85596,55851.512,0.0061024199,1.65719,194
485.85693,55896.277,0.0061024199,1.6529189,194
485.85791,55941.043,0.0061126589,1.65719,194
485.85889,55991.781,0.0061228978,1.65719,194
485.85986,56039.531,0.0061228978,1.6614611,194
485.86084,56090.27,0.0061536147,1.65719,194
485.86182,56129.066,0.0061536147,1.6614611,194
485.86279,56179.801,0.0061638537,1.65719,194
485.86377,56221.586,0.0061945706,1.6657323,194
485.86475,56272.324,0.0061945706,1.6614611,194
485.86572,56314.105,0.0061843316,1.6657323,194
485.8667,56364.84,0.0062048095,1.6614611,194
485.86768,56403.641,0.0062252874,1.6614611,194
485.86865,56451.391,0.0062355264,1.6614611,194
485.86963,56496.16,0.0062457654,1.6657323,194
485.87061,56540.926,0.0062457654,1.6700033,194
485.87158,56582.707,0.0062457654,1.6700033,194
485.87256,56633.445,0.0062662433,1.6700033,194
485.87354,56672.242,0.0062764823,1.6742744,194
485.87451,56725.965,0.0062969602,1.6742744,194
485.87549,56764.762,0.0063071991,1.6742744,194
485.87646,56821.465,0.0063071991,1.6742744,194
485.87744,56854.293,0.0062969602,1.6785456,194
485.87842,56908.016,0.0063276771,1.6742744,194
485.87939,56946.816,0.0063174381,1.6742744,194
485.88037,56991.582,0.006337916,1.6742744,194
485.88135,57039.332,0.006348155,1.6742744,194
485.88232,57084.098,0.0063788719,1.6785456,194
485.8833,57131.852,0.0063891108,1.6785456,194
485.88428,57176.621,0.0063891108,1.6785456,194
485.88525,57218.402,0.0063993498,1.6785456,194
485.88623,57263.168,0.0063993498,1.6828166,194
485.88721,57307.938,0.0064095887,1.6828166,194
485.88818,57349.719,0.0064300667,1.6870878,194
485.88916,57391.504,0.0064505446,1.6870878,194
485.89014,57430.297,0.0064505446,1.6870878,194
485.89111,57475.066,0.0064505446,1.6828166,194
485.89209,57522.82,0.0064607835,1.6828166,194
485.89307,57564.602,0.0064812615,1.6913589,194
485.89404,57600.414,0.0064915004,1.6870878,194
485.89502,57651.148,0.0065017394,1.69563,194
485.896,57683.98,0.0065119783,1.6913589,194
485.89697,57731.73,0.0065222173,1.6913589,194
485.89795,57770.531,0.0065324563,1.6913589,194
485.89893,57812.313,0.0065529342,1.6913589,194
485.8999,57851.113,0.0065529342,1.6913589,194
485.90088,57898.859,0.0065734121,1.6913589,194
485.90186,57925.723,0.0065631731,1.6913589,194
485.90283,57976.461,0.0065836511,1.6999011,194
485.90381,58009.289,0.0065836511,1.6999011,194
485.90479,58057.043,0.0066143679,1.6999011,194
485.90576,58092.855,0.00659389,1.6999011,194
485.90674,58140.605,0.006604129,1.69563,194
485.90771,58173.434,0.0066450848,1.6999011,194
485.90869,58215.219,0.0066348459,1.69563,194
485.90967,58254.016,0.0066348459,1.6999011,194
485.91064,58298.781,0.0066553238,1.6999011,194
485.91162,58331.613,0.0066655627,1.6999011,194
485.9126,58379.363,0.0066758017,1.7041723,194
485.91357,58412.191,0.0066860407,1.7041723,194
485.91455,58453.977,0.0066962796,1.7041723,194
485.91553,58495.758,0.0066860407,1.7041723,194
485.9165,58531.57,0.0067167575,1.7041723,194
485.91748,58570.371,0.0067372355,1.7041723,194
485.91846,58606.184,0.0067474744,1.7084433,194
485.91943,58647.965,0.0067474744,1.7084433,194
485.92041,58686.766,0.0067474744,1.7084433,194
485.92139,58722.578,0.0067577134,1.7084433,194
485.92236,58764.363,0.0067781913,1.7127144,194
485.92334,58806.145,0.0067884303,1.7127144,194
485.92432,58838.973,0.0067884303,1.7127144,194
485.92529,58877.77,0.0068191472,1.7169856,194
485.92627,58910.598,0.0068089082,1.7127144,194
