strain,stress_MPa
0.0060307472,462.80551141199464
0.0060307472,463.2531385131457
0.0060512251,463.5829619455878
0.006071703,463.98349284037835
0.0060614641,464.3839921587651
0.0061024199,464.78453094765666
0.0061024199,465.13791037737997
0.0061126589,465.4912977012042
0.0061228978,465.8918285959948
0.0061228978,466.2687719171003
0.0061536147,466.6693107059918
0.0061536147,466.9755702470517
0.0061638537,467.3760774595394
0.0061945706,467.7059324683853
0.0061945706,468.10646336317586
0.0061843316,468.43628679561795
0.0062048095,468.8367940081056
0.0062252874,469.14309301967035
0.0062355264,469.5200363407758
0.0062457654,469.873447346903
0.0062457654,470.2268346707272
0.0062457654,470.5566581031693
0.0062662433,470.95718899795986
0.0062764823,471.26345643312067
0.0062969602,471.6875512192934
0.0063071991,471.9938186544543
0.0063071991,472.44143786150437
0.0062969602,472.7005854080018
0.0063276771,473.12468019417463
0.0063174381,473.4309713116383
0.006337916,473.7843586354626
0.006348155,474.1613019565681
0.0063788719,474.5146892803923
0.0063891108,474.89166417790165
0.0063891108,475.2450751840288
0.0063993498,475.5748986164709
0.0063993498,475.9282859402951
0.0064095887,476.2817048405233
0.0064300667,476.6115282729653
0.0064505446,476.9413832818112
0.0064505446,477.2476191405682
0.0064505446,477.60103014669534
0.0064607835,477.9780050442047
0.0064812615,478.30783637074774
0.0064915004,478.59053991452635
0.0065017394,478.99103923291307
0.0065119783,479.25021835581435
0.0065222173,479.62716167691985
0.0065324563,479.93346068848456
0.0065529342,480.26329201502756
0.0065529342,480.56958313249123
0.0065734121,480.9464948771929
0.0065631731,481.1585620055317
0.0065836511,481.5590929003223
0.0065836511,481.8182404468197
0.0066143679,482.19521534432903
0.00659389,482.4779188881077
0.006604129,482.8548622092132
0.0066450848,483.11401764981156
0.0066348459,483.4438726586574
0.0066348459,483.7501400938183
0.0066553238,484.1035195235416
0.0066655627,484.3626986464428
0.0066758017,484.7396419675483
0.0066860407,484.9987895140457
0.0066962796,485.3286524169926
0.0066860407,485.6584758494347
0.0067167575,485.9411793932133
0.0067372355,486.247478404778
0.0067474744,486.5301898426576
0.0067474744,486.8600132750996
0.0067474744,487.1663122866644
0.0067577134,487.449015830443
0.0067781913,487.77887083928886
0.0067884303,488.1087021658319
0.0067884303,488.3678497123293
0.0068191472,488.6741171474901
0.0068089082,488.93326469398755
0.0068396251,489.2866757001147
0.0068293861,489.5222988257347
0.0068293861,489.8521222581768
0.0068396251,490.1112698046742
0.006870342,490.41753723983504
0.0068908199,490.62959647407286
0.0068805809,491.0065397951783
0.0068908199,491.2656952357767
0.0068908199,491.5484303559592
0.0069215368,491.7604580137932
0.0069112978,492.0902893403362
0.0069317757,492.30231699817017
0.0069317757,492.67929189567957
0.0069522536,492.84419966485007
0.0069420147,493.22114298595557
0.0069522536,493.4332101142944
0.0069727316,493.76303354673644
0.0069932095,493.9750612045704
0.0069932095,494.3049241075173
0.0069932095,494.5876276512959
0.0070239264,494.8468067741972
0.0070239264,495.0352468583461
0.0070239264,495.3650702907881
0.0070444043,495.64781330507157
0.0070444043,495.93051684885023
0.0070648822,496.18969597175146
0.0070853601,496.42528752096763
0.0070853601,496.73158653253233
0.0070751212,496.9436141903663
0.0070853601,497.2734376228084
0.0070955991,497.53259306340675
0.007126316,497.79177218630804
0.0071365549,497.9802438468608
0.007126316,498.2865112820216
0.0071365549,498.52209493713684
0.0071570328,498.8519499459827
0.0071467939,498.99330961197296
